"size","decay","pred","obs","rowIndex","Resample"
16,0.1,"0","1",1100,"Fold05.Rep3"
16,0.1,"0","1",1226,"Fold05.Rep3"
16,0.1,"0","1",1618,"Fold05.Rep3"
16,0.1,"1","0",526,"Fold09.Rep3"
16,0.1,"1","0",655,"Fold09.Rep3"
16,0.1,"0","1",1121,"Fold09.Rep3"
16,0.1,"0","1",1585,"Fold09.Rep3"
16,0.1,"0","1",1093,"Fold01.Rep4"
16,0.1,"0","1",1100,"Fold01.Rep4"
16,0.1,"1","0",4,"Fold05.Rep4"
16,0.1,"1","0",150,"Fold05.Rep4"
16,0.1,"1","0",534,"Fold05.Rep4"
16,0.1,"1","0",566,"Fold05.Rep4"
16,0.1,"1","0",655,"Fold05.Rep4"
16,0.1,"0","1",1190,"Fold05.Rep4"
16,0.1,"0","1",1608,"Fold05.Rep4"
16,0.1,"0","1",1094,"Fold07.Rep4"
16,0.1,"0","1",1510,"Fold02.Rep1"
16,0.1,"0","1",1585,"Fold02.Rep1"
16,0.1,"0","1",1594,"Fold02.Rep1"
16,0.1,"1","0",249,"Fold03.Rep5"
16,0.1,"1","0",655,"Fold03.Rep5"
16,0.1,"0","1",1035,"Fold03.Rep5"
16,0.1,"0","1",1101,"Fold03.Rep5"
16,0.1,"0","1",1190,"Fold03.Rep5"
16,0.1,"0","1",1226,"Fold03.Rep5"
16,0.1,"0","1",1575,"Fold03.Rep5"
16,0.1,"1","0",532,"Fold07.Rep5"
16,0.1,"1","0",592,"Fold09.Rep5"
16,0.1,"0","1",1522,"Fold09.Rep5"
16,0.1,"0","1",1771,"Fold09.Rep5"
16,0.1,"0","1",1831,"Fold04.Rep2"
16,0.1,"1","0",546,"Fold08.Rep2"
16,0.1,"1","0",566,"Fold08.Rep2"
16,0.1,"1","0",453,"Fold10.Rep2"
16,0.1,"1","0",522,"Fold10.Rep2"
16,0.1,"1","0",547,"Fold10.Rep2"
16,0.1,"0","1",1035,"Fold10.Rep2"
16,0.1,"0","1",1587,"Fold10.Rep2"
16,0.1,"0","1",1771,"Fold10.Rep2"
16,0.1,"1","0",522,"Fold04.Rep3"
16,0.1,"1","0",531,"Fold04.Rep3"
16,0.1,"1","0",57,"Fold06.Rep3"
16,0.1,"1","0",130,"Fold06.Rep3"
16,0.1,"1","0",170,"Fold06.Rep3"
16,0.1,"1","0",534,"Fold06.Rep3"
16,0.1,"0","1",1219,"Fold06.Rep3"
16,0.1,"0","1",1264,"Fold06.Rep3"
16,0.1,"1","0",150,"Fold10.Rep3"
16,0.1,"1","0",94,"Fold02.Rep4"
16,0.1,"1","0",97,"Fold02.Rep4"
16,0.1,"1","0",580,"Fold02.Rep4"
16,0.1,"0","1",1233,"Fold02.Rep4"
16,0.1,"0","1",1264,"Fold02.Rep4"
16,0.1,"0","1",1576,"Fold02.Rep4"
16,0.1,"1","0",57,"Fold06.Rep4"
16,0.1,"1","0",130,"Fold06.Rep4"
16,0.1,"1","0",518,"Fold06.Rep4"
16,0.1,"1","0",522,"Fold06.Rep4"
16,0.1,"1","0",546,"Fold06.Rep4"
16,0.1,"1","0",547,"Fold06.Rep4"
16,0.1,"0","1",1121,"Fold08.Rep4"
16,0.1,"0","1",1873,"Fold08.Rep4"
16,0.1,"1","0",15,"Fold04.Rep5"
16,0.1,"1","0",130,"Fold04.Rep5"
16,0.1,"0","1",1100,"Fold04.Rep5"
16,0.1,"0","1",1576,"Fold04.Rep5"
16,0.1,"0","1",1780,"Fold04.Rep5"
16,0.1,"0","1",1621,"Fold09.Rep1"
16,0.1,"0","1",1833,"Fold09.Rep1"
16,0.1,"1","0",503,"Fold10.Rep5"
16,0.1,"1","0",913,"Fold10.Rep5"
16,0.1,"0","1",1093,"Fold10.Rep5"
16,0.1,"0","1",1693,"Fold10.Rep5"
16,0.1,"0","1",1833,"Fold10.Rep5"
16,0.1,"0","1",1621,"Fold05.Rep2"
16,0.1,"1","0",530,"Fold09.Rep2"
16,0.1,"1","0",116,"Fold01.Rep3"
16,0.1,"1","0",547,"Fold01.Rep3"
16,0.1,"1","0",580,"Fold05.Rep3"
16,0.1,"0","1",1035,"Fold07.Rep3"
16,0.1,"0","1",1101,"Fold07.Rep3"
16,0.1,"0","1",1510,"Fold07.Rep3"
16,0.1,"0","1",1522,"Fold07.Rep3"
16,0.1,"0","1",1831,"Fold07.Rep3"
16,0.1,"1","0",116,"Fold01.Rep4"
16,0.1,"1","0",449,"Fold03.Rep4"
16,0.1,"1","0",913,"Fold03.Rep4"
16,0.1,"0","1",1101,"Fold03.Rep4"
16,0.1,"0","1",1130,"Fold03.Rep4"
16,0.1,"0","1",1219,"Fold03.Rep4"
16,0.1,"0","1",1226,"Fold03.Rep4"
16,0.1,"0","1",1618,"Fold03.Rep4"
16,0.1,"0","1",1693,"Fold03.Rep4"
16,0.1,"1","0",183,"Fold07.Rep4"
16,0.1,"1","0",445,"Fold07.Rep4"
